Log,Date-time
Open connection with database,2023-05-26 03:56:33
Close connection with database,2023-05-26 03:56:33
Open connection with database,2023-05-26 03:56:46
The client and address were updated,2023-05-26 03:56:46
Close connection with database,2023-05-26 03:56:46
Open connection with database,2023-05-26 03:56:57
Printed all Clients,2023-05-26 03:56:57
Close connection with database,2023-05-26 03:56:57
Open connection with database,2023-05-26 03:57:12
Close connection with database,2023-05-26 03:57:12
Printed all Bacteria Sanitizers,2023-05-26 03:57:12
